id,name,description,price,stock,category,imageUrl,createdAt,updatedAt
1,Refined Cotton Ball,This is a fantastic refined cotton ball that provides exceptional value. Contains premium materials and state-of-the-art construction.,245.38,183,Clothing,https://picsum.photos/seed/1/400/400,2026-05-04 10:37:45.695,2026-05-04 10:37:45.695
2,Gorgeous Steel Shirt,This is a fantastic gorgeous steel shirt that provides exceptional value. Contains premium materials and state-of-the-art construction.,433.12,113,Toys,https://picsum.photos/seed/2/400/400,2026-05-04 10:37:45.695,2026-05-04 10:37:45.695
3,Awesome Wooden Bike,This is a fantastic awesome wooden bike that provides exceptional value. Contains premium materials and state-of-the-art construction.,192.83,61,Books,https://picsum.photos/seed/3/400/400,2026-05-04 10:37:45.695,2026-05-04 10:37:45.695
4,Gorgeous Cotton Gloves,This is a fantastic gorgeous cotton gloves that provides exceptional value. Contains premium materials and state-of-the-art construction.,202.09,152,Books,https://picsum.photos/seed/4/400/400,2026-05-04 10:37:45.695,2026-05-04 10:37:45.695
5,Sleek Wooden Car,This is a fantastic sleek wooden car that provides exceptional value. Contains premium materials and state-of-the-art construction.,267.17,97,Sports,https://picsum.photos/seed/5/400/400,2026-05-04 10:37:45.695,2026-05-04 10:37:45.695
6,Rustic Steel Mouse,This is a fantastic rustic steel mouse that provides exceptional value. Contains premium materials and state-of-the-art construction.,446.81,145,Toys,https://picsum.photos/seed/6/400/400,2026-05-04 10:37:45.695,2026-05-04 10:37:45.695
7,Licensed Metal Pants,This is a fantastic licensed metal pants that provides exceptional value. Contains premium materials and state-of-the-art construction.,312.67,32,Sports,https://picsum.photos/seed/7/400/400,2026-05-04 10:37:45.695,2026-05-04 10:37:45.695
8,Awesome Rubber Ball,This is a fantastic awesome rubber ball that provides exceptional value. Contains premium materials and state-of-the-art construction.,34.21,121,Sports,https://picsum.photos/seed/8/400/400,2026-05-04 10:37:45.695,2026-05-04 10:37:45.695
9,Handcrafted Wooden Computer,This is a fantastic handcrafted wooden computer that provides exceptional value. Contains premium materials and state-of-the-art construction.,338.63,99,Clothing,https://picsum.photos/seed/9/400/400,2026-05-04 10:37:45.695,2026-05-04 10:37:45.695
10,Intelligent Metal Computer,This is a fantastic intelligent metal computer that provides exceptional value. Contains premium materials and state-of-the-art construction.,381.05,143,Sports,https://picsum.photos/seed/10/400/400,2026-05-04 10:37:45.695,2026-05-04 10:37:45.695
11,Intelligent Wooden Pants,This is a fantastic intelligent wooden pants that provides exceptional value. Contains premium materials and state-of-the-art construction.,278.52,72,Clothing,https://picsum.photos/seed/11/400/400,2026-05-04 10:37:45.695,2026-05-04 10:37:45.695
12,Ergonomic Wooden Keyboard,This is a fantastic ergonomic wooden keyboard that provides exceptional value. Contains premium materials and state-of-the-art construction.,351.58,63,Books,https://picsum.photos/seed/12/400/400,2026-05-04 10:37:45.695,2026-05-04 10:37:45.695
13,Refined Steel Car,This is a fantastic refined steel car that provides exceptional value. Contains premium materials and state-of-the-art construction.,450.8,58,Sports,https://picsum.photos/seed/13/400/400,2026-05-04 10:37:45.695,2026-05-04 10:37:45.695
14,Refined Granite Bike,This is a fantastic refined granite bike that provides exceptional value. Contains premium materials and state-of-the-art construction.,178.2,100,Home & Garden,https://picsum.photos/seed/14/400/400,2026-05-04 10:37:45.695,2026-05-04 10:37:45.695
15,Handcrafted Soft Keyboard,This is a fantastic handcrafted soft keyboard that provides exceptional value. Contains premium materials and state-of-the-art construction.,80.31,79,Home & Garden,https://picsum.photos/seed/15/400/400,2026-05-04 10:37:45.695,2026-05-04 10:37:45.695
16,Rustic Soft Car,This is a fantastic rustic soft car that provides exceptional value. Contains premium materials and state-of-the-art construction.,286.28,189,Toys,https://picsum.photos/seed/16/400/400,2026-05-04 10:37:45.695,2026-05-04 10:37:45.695
17,Rustic Wooden Ball,This is a fantastic rustic wooden ball that provides exceptional value. Contains premium materials and state-of-the-art construction.,310.71,74,Home & Garden,https://picsum.photos/seed/17/400/400,2026-05-04 10:37:45.695,2026-05-04 10:37:45.695
18,Licensed Fresh Bike,This is a fantastic licensed fresh bike that provides exceptional value. Contains premium materials and state-of-the-art construction.,65.22,184,Books,https://picsum.photos/seed/18/400/400,2026-05-04 10:37:45.695,2026-05-04 10:37:45.695
